state	year	m	f
CO	1931	Robert	Mary
CT	1931	Robert	Mary
DE	1931	William	Mary
FL	1931	James	Mary
GA	1931	James	Mary
HI	1931	George	Mary
IA	1931	Robert	Mary
ID	1931	Robert	Mary
IL	1931	Robert	Mary
IN	1931	Robert	Mary
KS	1931	Robert	Mary
KY	1931	James	Mary
LA	1931	James	Mary
MA	1931	Robert	Mary
MD	1931	William	Mary
ME	1931	Robert	Mary
MI	1931	Robert	Mary
MN	1931	Robert	Mary
MO	1931	Robert	Mary
MS	1931	James	Mary
MT	1931	Robert	Mary
NC	1931	James	Mary
ND	1931	Robert	Betty
NE	1931	Robert	Mary
NH	1931	Robert	Barbara
NJ	1931	John	Joan
NM	1931	Joe	Mary
NV	1931	John	Betty
NY	1931	Robert	Mary
OH	1931	Robert	Mary
OK	1931	James	Betty
OR	1931	Robert	Betty
PA	1931	John	Mary
RI	1931	Robert	Mary
SC	1931	James	Mary
SD	1931	Robert	Betty
TN	1931	James	Mary
TX	1931	James	Mary
UT	1931	Robert	Mary
VA	1931	James	Mary
